Codigo_Accidente,Formulario,Direccion,Fecha_Acc,Dia_Semana_Acc,Hora_Acc,Min_Acc,Localidad,Clase_Acc,Elemento_Choque,Tipo_Objeto_Fijo,Gravedad_Indicador_Tradicional,Gravedad_indicador_30d,
10598246,A001604919,KR 50 - CL 4  02,2023-11-12,Domingo,19,20,PUENTE ARANDA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10598247,A001613963,CL 31 D S- KR 4 E 02,2023-11-13,Lunes,8,20,SAN CRISTOBAL,Choque,Objeto Fijo,Poste,Solo Daños,Solo Daños,
10598250,A001604709,KR 13 - CL 32  02,2023-11-11,Sábado,19,0,SANTA FE,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10598450,A001604768,TV 77 M - CL 65 F S 02,2023-11-15,Miércoles,12,1,BOSA,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10598453,A001605101,CL 72 - KR 100 A 02,2023-11-17,Viernes,18,30,ENGATIVA,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10598457,A001604794,CL 127 - KR 57  02,2023-11-18,Sábado,8,50,SUBA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10598474,A001605070,CL 27 S- KR 19 B 02,2023-11-17,Viernes,18,30,RAFAEL URIBE URIBE,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10598480,A001604884,CL 16 A - KR 74 B S 02,2023-11-15,Miércoles,21,5,CIUDAD BOLIVAR,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10598482,A001604921,CL 12 - KR 32  02,2023-11-16,Jueves,19,49,PUENTE ARANDA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10598484,A001604782,KR 7 - CL 56  02,2023-11-15,Miércoles,13,45,CHAPINERO,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
